fecha,CODRUTA,NCOORD,TAREA_CERRADA,HMIN,HMAX,OPCIONES,KM_REPARTO,TIME_REPARTO,KM_REGRESO,TIME_REGRESO
"2021-07-18 00:00:00",3602,151,0,"2021-07-18 03:52:00","2021-07-18 05:34:00",2,25.51,168,15.55,31
"2021-07-18 00:00:00",3603,783,0,"2021-07-18 03:57:00","2021-07-18 05:02:00",2,16.59,168,12.85,23
"2021-07-18 00:00:00",3604,226,0,"2021-07-18 03:58:00","2021-07-18 06:37:00",2,26.03,168,12.87,16
"2021-07-18 00:00:00",3605,174,0,"2021-07-18 04:16:00","2021-07-18 06:04:00",2,23.68,168,9.26,17
"2021-07-18 00:00:00",3608,358,0,"2021-07-18 03:51:00","2021-07-18 05:14:00",2,26.16,168,8.64,22
"2021-07-18 00:00:00",3609,255,0,"2021-07-18 03:53:00","2021-07-18 05:28:00",2,28.01,168,9.76,17
"2021-07-18 00:00:00",4002,492,0,"2021-07-18 04:04:00","2021-07-18 07:56:00",2,141.3,168,74.67,62
"2021-07-18 00:00:00",4106,725,0,"2021-07-18 05:02:00","2021-07-18 08:43:00",2,147.59,168,53.27,37
"2021-07-18 00:00:00",4201,682,0,"2021-07-18 04:14:00","2021-07-18 08:09:00",2,151.39,168,75.75,57
"2021-07-18 00:00:00",4204,11145,0,"2021-07-18 04:48:00","2021-07-18 07:17:00",2,84.28,168,73.13,63
"2021-07-18 00:00:00",4206,613,0,"2021-07-18 04:13:00","2021-07-18 08:57:00",2,139.68,168,47.88,31
"2021-07-18 00:00:00",4302,633,0,"2021-07-18 04:21:00","2021-07-18 08:35:00",2,129,168,67.76,57
"2021-07-18 00:00:00",4401,374,0,"2021-07-18 04:16:00","2021-07-18 07:42:00",2,82.63,168,58.82,56
"2021-07-18 00:00:00",4505,361,0,"2021-07-18 04:15:00","2021-07-18 07:41:00",2,62.93,168,41.58,36
"2021-07-18 00:00:00",4509,311,0,"2021-07-18 04:02:00","2021-07-18 07:20:00",2,77.58,168,46.72,39
"2021-07-18 00:00:00",4512,504,0,"2021-07-18 05:31:00","2021-07-18 09:44:00",2,60.93,168,31.73,23
"2021-07-18 00:00:00",4517,810,0,"2021-07-18 04:58:00","2021-07-18 09:44:00",2,47.65,168,13.84,20
"2021-07-18 00:00:00",4601,389,0,"2021-07-18 04:14:00","2021-07-18 08:31:00",2,36.42,168,41.23,30
"2021-07-18 00:00:00",4603,499,0,"2021-07-18 05:05:00","2021-07-18 08:15:00",2,79.39,168,33.96,29
"2021-07-18 00:00:00",4717,517,0,"2021-07-18 04:08:00","2021-07-18 07:33:00",2,57.56,168,17.5,14
"2021-07-18 00:00:00",4718,498,0,"2021-07-18 04:34:00","2021-07-18 09:16:00",2,52.7,168,13.68,15
"2021-07-18 00:00:00",4816,658,0,"2021-07-18 04:36:00","2021-07-18 09:40:00",2,69.22,168,10.97,14
"2021-07-18 00:00:00",4817,592,0,"2021-07-18 04:34:00","2021-07-18 07:58:00",2,52.59,168,23.64,22
"2021-07-18 00:00:00",4818,440,0,"2021-07-18 04:17:00","2021-07-18 07:49:00",2,52.53,168,35.44,30
"2021-07-18 00:00:00",4903,262,0,"2021-07-18 04:23:00","2021-07-18 07:24:00",2,71.48,168,55.64,60
"2021-07-18 00:00:00",5111,502,0,"2021-07-18 05:25:00","2021-07-18 09:48:00",2,33.92,168,4.55,14
"2021-07-18 00:00:00",5112,346,0,"2021-07-18 05:03:00","2021-07-18 08:41:00",2,18.74,168,1.53,4
"2021-07-18 00:00:00",5114,379,0,"2021-07-18 05:41:00","2021-07-18 08:48:00",2,27.65,168,8.44,17
"2021-07-18 00:00:00",5201,596,0,"2021-07-18 04:16:00","2021-07-18 07:26:00",2,48.46,168,20.16,16
"2021-07-18 00:00:00",5301,415,0,"2021-07-18 04:15:00","2021-07-18 06:28:00",2,40.98,168,15.47,16
"2021-07-18 00:00:00",5401,785,0,"2021-07-18 04:10:00","2021-07-18 07:06:00",2,22.09,168,11,15
"2021-07-18 00:00:00",5502,359,0,"2021-07-18 03:56:00","2021-07-18 07:33:00",2,25.8,168,13.22,22
"2021-07-18 00:00:00",5503,332,0,"2021-07-18 03:59:00","2021-07-18 06:13:00",2,30.09,168,21.25,22
"2021-07-18 00:00:00",6202,276,0,"2021-07-18 04:41:00","2021-07-18 07:28:00",2,24.92,168,11.48,18
"2021-07-18 00:00:00",6305,403,0,"2021-07-18 04:23:00","2021-07-18 07:29:00",2,45.17,168,25.96,27
"2021-07-18 00:00:00",6507,279,0,"2021-07-18 04:22:00","2021-07-18 07:08:00",2,37.25,168,6.97,17
"2021-07-18 00:00:00",6707,374,0,"2021-07-18 04:30:00","2021-07-18 06:35:00",2,24.34,168,10.3,19
"2021-07-18 00:00:00",7204,149,0,"2021-07-18 05:04:00","2021-07-18 06:07:00",2,22.08,168,6.82,8
"2021-07-18 00:00:00",7402,352,0,"2021-07-18 05:18:00","2021-07-18 06:56:00",2,23.54,168,13.36,15
"2021-07-19 00:00:00",1501,741,0,"2021-07-19 03:01:00","2021-07-19 06:24:00",2,53.7,168,12.99,23
"2021-07-19 00:00:00",2517,270,0,"2021-07-19 07:57:00","2021-07-19 09:49:00",2,66.99,168,56.19,52
"2021-07-19 00:00:00",3022,552,0,"2021-07-19 03:15:00","2021-07-19 08:41:00",2,125.19,168,66.18,43
"2021-07-19 00:00:00",3041,1029,0,"2021-07-19 04:08:00","2021-07-19 10:28:00",2,81.26,168,23.75,21
"2021-07-19 00:00:00",3061,308,0,"2021-07-19 05:20:00","2021-07-19 08:52:00",2,20.37,168,11.99,16
"2021-07-19 00:00:00",3063,347,0,"2021-07-19 05:36:00","2021-07-19 08:47:00",2,37.44,168,12.49,17
